,date,home_team,score,away_team
0,12-08-2023,Arsenal,2 - 1,Nott'm Forest
1,21-08-2023,Crystal Palace,0 - 1,Arsenal
2,26-08-2023,Arsenal,2 - 2,Fulham
3,03-09-2023,Arsenal,3 - 1,Man United
4,17-09-2023,Everton,0 - 1,Arsenal
5,24-09-2023,Arsenal,2 - 2,Tottenham
6,30-09-2023,Bournemouth,0 - 4,Arsenal
7,08-10-2023,Arsenal,1 - 0,Man City
8,21-10-2023,Chelsea,2 - 2,Arsenal
9,28-10-2023,Arsenal,5 - 0,Sheffield United
10,04-11-2023,Newcastle,1 - 0,Arsenal
11,11-11-2023,Arsenal,3 - 1,Burnley
12,25-11-2023,Brentford,? - ?,Arsenal
13,12-08-2023,Newcastle,5 - 1,Aston Villa
14,20-08-2023,Aston Villa,4 - 0,Everton
15,27-08-2023,Burnley,1 - 3,Aston Villa
16,03-09-2023,Liverpool,3 - 0,Aston Villa
17,16-09-2023,Aston Villa,3 - 1,Crystal Palace
18,24-09-2023,Chelsea,0 - 1,Aston Villa
19,30-09-2023,Aston Villa,6 - 1,Brighton
20,08-10-2023,Wolves,1 - 1,Aston Villa
21,22-10-2023,Aston Villa,4 - 1,West Ham
22,29-10-2023,Aston Villa,3 - 1,Luton
23,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
24,12-11-2023,Aston Villa,3 - 1,Fulham
25,26-11-2023,Tottenham,? - ?,Aston Villa
26,12-08-2023,Bournemouth,1 - 1,West Ham
27,19-08-2023,Liverpool,3 - 1,Bournemouth
28,26-08-2023,Bournemouth,0 - 2,Tottenham
29,02-09-2023,Brentford,2 - 2,Bournemouth
30,17-09-2023,Bournemouth,0 - 0,Chelsea
31,24-09-2023,Brighton,3 - 1,Bournemouth
32,30-09-2023,Bournemouth,0 - 4,Arsenal
33,07-10-2023,Everton,3 - 0,Bournemouth
34,21-10-2023,Bournemouth,1 - 2,Wolves
35,28-10-2023,Bournemouth,2 - 1,Burnley
36,04-11-2023,Man City,6 - 1,Bournemouth
37,11-11-2023,Bournemouth,2 - 0,Newcastle
38,25-11-2023,Sheffield United,? - ?,Bournemouth
39,13-08-2023,Brentford,2 - 2,Tottenham
40,19-08-2023,Fulham,0 - 3,Brentford
41,26-08-2023,Brentford,1 - 1,Crystal Palace
42,02-09-2023,Brentford,2 - 2,Bournemouth
43,16-09-2023,Newcastle,1 - 0,Brentford
44,23-09-2023,Brentford,1 - 3,Everton
45,01-10-2023,Nott'm Forest,1 - 1,Brentford
46,07-10-2023,Man United,2 - 1,Brentford
47,21-10-2023,Brentford,3 - 0,Burnley
48,28-10-2023,Chelsea,0 - 2,Brentford
49,04-11-2023,Brentford,3 - 2,West Ham
50,12-11-2023,Liverpool,3 - 0,Brentford
51,25-11-2023,Brentford,? - ?,Arsenal
52,12-08-2023,Brighton,4 - 1,Luton
53,19-08-2023,Wolves,1 - 4,Brighton
54,26-08-2023,Brighton,1 - 3,West Ham
55,02-09-2023,Brighton,3 - 1,Newcastle
56,16-09-2023,Man United,1 - 3,Brighton
57,24-09-2023,Brighton,3 - 1,Bournemouth
58,30-09-2023,Aston Villa,6 - 1,Brighton
59,08-10-2023,Brighton,2 - 2,Liverpool
60,21-10-2023,Man City,2 - 1,Brighton
61,29-10-2023,Brighton,1 - 1,Fulham
62,04-11-2023,Everton,1 - 1,Brighton
63,12-11-2023,Brighton,1 - 1,Sheffield United
64,25-11-2023,Nott'm Forest,? - ?,Brighton
65,11-08-2023,Burnley,0 - 3,Man City
66,27-08-2023,Burnley,1 - 3,Aston Villa
67,02-09-2023,Burnley,2 - 5,Tottenham
68,18-09-2023,Nott'm Forest,1 - 1,Burnley
69,23-09-2023,Burnley,0 - 1,Man United
70,30-09-2023,Newcastle,2 - 0,Burnley
71,03-10-2023,Luton,1 - 2,Burnley
72,07-10-2023,Burnley,1 - 4,Chelsea
73,21-10-2023,Brentford,3 - 0,Burnley
74,28-10-2023,Bournemouth,2 - 1,Burnley
75,04-11-2023,Burnley,0 - 2,Crystal Palace
76,11-11-2023,Arsenal,3 - 1,Burnley
77,25-11-2023,Burnley,? - ?,West Ham
78,13-08-2023,Chelsea,1 - 1,Liverpool
79,20-08-2023,West Ham,3 - 1,Chelsea
80,25-08-2023,Chelsea,3 - 0,Luton
81,02-09-2023,Chelsea,0 - 1,Nott'm Forest
82,17-09-2023,Bournemouth,0 - 0,Chelsea
83,24-09-2023,Chelsea,0 - 1,Aston Villa
84,02-10-2023,Fulham,0 - 2,Chelsea
85,07-10-2023,Burnley,1 - 4,Chelsea
86,21-10-2023,Chelsea,2 - 2,Arsenal
87,28-10-2023,Chelsea,0 - 2,Brentford
88,06-11-2023,Tottenham,1 - 4,Chelsea
89,12-11-2023,Chelsea,4 - 4,Man City
90,25-11-2023,Newcastle,? - ?,Chelsea
91,12-08-2023,Sheffield United,0 - 1,Crystal Palace
92,21-08-2023,Crystal Palace,0 - 1,Arsenal
93,26-08-2023,Brentford,1 - 1,Crystal Palace
94,03-09-2023,Crystal Palace,3 - 2,Wolves
95,16-09-2023,Aston Villa,3 - 1,Crystal Palace
96,23-09-2023,Crystal Palace,0 - 0,Fulham
97,30-09-2023,Man United,0 - 1,Crystal Palace
98,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
99,21-10-2023,Newcastle,4 - 0,Crystal Palace
100,27-10-2023,Crystal Palace,1 - 2,Tottenham
101,04-11-2023,Burnley,0 - 2,Crystal Palace
102,11-11-2023,Crystal Palace,2 - 3,Everton
103,25-11-2023,Luton,? - ?,Crystal Palace
104,12-08-2023,Everton,0 - 1,Fulham
105,20-08-2023,Aston Villa,4 - 0,Everton
106,26-08-2023,Everton,0 - 1,Wolves
107,02-09-2023,Sheffield United,2 - 2,Everton
108,17-09-2023,Everton,0 - 1,Arsenal
109,23-09-2023,Brentford,1 - 3,Everton
110,30-09-2023,Everton,1 - 2,Luton
111,07-10-2023,Everton,3 - 0,Bournemouth
112,21-10-2023,Liverpool,2 - 0,Everton
113,29-10-2023,West Ham,0 - 1,Everton
114,04-11-2023,Everton,1 - 1,Brighton
115,11-11-2023,Crystal Palace,2 - 3,Everton
116,26-11-2023,Everton,? - ?,Man United
117,12-08-2023,Everton,0 - 1,Fulham
118,19-08-2023,Fulham,0 - 3,Brentford
119,26-08-2023,Arsenal,2 - 2,Fulham
120,02-09-2023,Man City,5 - 1,Fulham
121,16-09-2023,Fulham,1 - 0,Luton
122,23-09-2023,Crystal Palace,0 - 0,Fulham
123,02-10-2023,Fulham,0 - 2,Chelsea
124,07-10-2023,Fulham,3 - 1,Sheffield United
125,23-10-2023,Tottenham,2 - 0,Fulham
126,29-10-2023,Brighton,1 - 1,Fulham
127,04-11-2023,Fulham,0 - 1,Man United
128,12-11-2023,Aston Villa,3 - 1,Fulham
129,27-11-2023,Fulham,? - ?,Wolves
130,13-08-2023,Chelsea,1 - 1,Liverpool
131,19-08-2023,Liverpool,3 - 1,Bournemouth
132,27-08-2023,Newcastle,1 - 2,Liverpool
133,03-09-2023,Liverpool,3 - 0,Aston Villa
134,16-09-2023,Wolves,1 - 3,Liverpool
135,24-09-2023,Liverpool,3 - 1,West Ham
136,30-09-2023,Tottenham,2 - 1,Liverpool
137,08-10-2023,Brighton,2 - 2,Liverpool
138,21-10-2023,Liverpool,2 - 0,Everton
139,29-10-2023,Liverpool,3 - 0,Nott'm Forest
140,05-11-2023,Luton,1 - 1,Liverpool
141,12-11-2023,Liverpool,3 - 0,Brentford
142,25-11-2023,Man City,? - ?,Liverpool
143,12-08-2023,Brighton,4 - 1,Luton
144,25-08-2023,Chelsea,3 - 0,Luton
145,01-09-2023,Luton,1 - 2,West Ham
146,16-09-2023,Fulham,1 - 0,Luton
147,23-09-2023,Luton,1 - 1,Wolves
148,30-09-2023,Everton,1 - 2,Luton
149,03-10-2023,Luton,1 - 2,Burnley
150,07-10-2023,Luton,0 - 1,Tottenham
151,21-10-2023,Nott'm Forest,2 - 2,Luton
152,29-10-2023,Aston Villa,3 - 1,Luton
153,05-11-2023,Luton,1 - 1,Liverpool
154,11-11-2023,Man United,1 - 0,Luton
155,25-11-2023,Luton,? - ?,Crystal Palace
156,11-08-2023,Burnley,0 - 3,Man City
157,19-08-2023,Man City,1 - 0,Newcastle
158,27-08-2023,Sheffield United,1 - 2,Man City
159,02-09-2023,Man City,5 - 1,Fulham
160,16-09-2023,West Ham,1 - 3,Man City
161,23-09-2023,Man City,2 - 0,Nott'm Forest
162,30-09-2023,Wolves,2 - 1,Man City
163,08-10-2023,Arsenal,1 - 0,Man City
164,21-10-2023,Man City,2 - 1,Brighton
165,29-10-2023,Man United,0 - 3,Man City
166,04-11-2023,Man City,6 - 1,Bournemouth
167,12-11-2023,Chelsea,4 - 4,Man City
168,25-11-2023,Man City,? - ?,Liverpool
169,14-08-2023,Man United,1 - 0,Wolves
170,19-08-2023,Tottenham,2 - 0,Man United
171,26-08-2023,Man United,3 - 2,Nott'm Forest
172,03-09-2023,Arsenal,3 - 1,Man United
173,16-09-2023,Man United,1 - 3,Brighton
174,23-09-2023,Burnley,0 - 1,Man United
175,30-09-2023,Man United,0 - 1,Crystal Palace
176,07-10-2023,Man United,2 - 1,Brentford
177,21-10-2023,Sheffield United,1 - 2,Man United
178,29-10-2023,Man United,0 - 3,Man City
179,04-11-2023,Fulham,0 - 1,Man United
180,11-11-2023,Man United,1 - 0,Luton
181,26-11-2023,Everton,? - ?,Man United
182,12-08-2023,Newcastle,5 - 1,Aston Villa
183,19-08-2023,Man City,1 - 0,Newcastle
184,27-08-2023,Newcastle,1 - 2,Liverpool
185,02-09-2023,Brighton,3 - 1,Newcastle
186,16-09-2023,Newcastle,1 - 0,Brentford
187,24-09-2023,Sheffield United,0 - 8,Newcastle
188,30-09-2023,Newcastle,2 - 0,Burnley
189,08-10-2023,West Ham,2 - 2,Newcastle
190,21-10-2023,Newcastle,4 - 0,Crystal Palace
191,28-10-2023,Wolves,2 - 2,Newcastle
192,04-11-2023,Newcastle,1 - 0,Arsenal
193,11-11-2023,Bournemouth,2 - 0,Newcastle
194,25-11-2023,Newcastle,? - ?,Chelsea
195,12-08-2023,Arsenal,2 - 1,Nott'm Forest
196,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
197,26-08-2023,Man United,3 - 2,Nott'm Forest
198,02-09-2023,Chelsea,0 - 1,Nott'm Forest
199,18-09-2023,Nott'm Forest,1 - 1,Burnley
200,23-09-2023,Man City,2 - 0,Nott'm Forest
201,01-10-2023,Nott'm Forest,1 - 1,Brentford
202,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
203,21-10-2023,Nott'm Forest,2 - 2,Luton
204,29-10-2023,Liverpool,3 - 0,Nott'm Forest
205,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
206,12-11-2023,West Ham,3 - 2,Nott'm Forest
207,25-11-2023,Nott'm Forest,? - ?,Brighton
208,12-08-2023,Sheffield United,0 - 1,Crystal Palace
209,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
210,27-08-2023,Sheffield United,1 - 2,Man City
211,02-09-2023,Sheffield United,2 - 2,Everton
212,16-09-2023,Tottenham,2 - 1,Sheffield United
213,24-09-2023,Sheffield United,0 - 8,Newcastle
214,30-09-2023,West Ham,2 - 0,Sheffield United
215,07-10-2023,Fulham,3 - 1,Sheffield United
216,21-10-2023,Sheffield United,1 - 2,Man United
217,28-10-2023,Arsenal,5 - 0,Sheffield United
218,04-11-2023,Sheffield United,2 - 1,Wolves
219,12-11-2023,Brighton,1 - 1,Sheffield United
220,25-11-2023,Sheffield United,? - ?,Bournemouth
221,13-08-2023,Brentford,2 - 2,Tottenham
222,19-08-2023,Tottenham,2 - 0,Man United
223,26-08-2023,Bournemouth,0 - 2,Tottenham
224,02-09-2023,Burnley,2 - 5,Tottenham
225,16-09-2023,Tottenham,2 - 1,Sheffield United
226,24-09-2023,Arsenal,2 - 2,Tottenham
227,30-09-2023,Tottenham,2 - 1,Liverpool
228,07-10-2023,Luton,0 - 1,Tottenham
229,23-10-2023,Tottenham,2 - 0,Fulham
230,27-10-2023,Crystal Palace,1 - 2,Tottenham
231,06-11-2023,Tottenham,1 - 4,Chelsea
232,11-11-2023,Wolves,2 - 1,Tottenham
233,26-11-2023,Tottenham,? - ?,Aston Villa
234,12-08-2023,Bournemouth,1 - 1,West Ham
235,20-08-2023,West Ham,3 - 1,Chelsea
236,26-08-2023,Brighton,1 - 3,West Ham
237,01-09-2023,Luton,1 - 2,West Ham
238,16-09-2023,West Ham,1 - 3,Man City
239,24-09-2023,Liverpool,3 - 1,West Ham
240,30-09-2023,West Ham,2 - 0,Sheffield United
241,08-10-2023,West Ham,2 - 2,Newcastle
242,22-10-2023,Aston Villa,4 - 1,West Ham
243,29-10-2023,West Ham,0 - 1,Everton
244,04-11-2023,Brentford,3 - 2,West Ham
245,12-11-2023,West Ham,3 - 2,Nott'm Forest
246,25-11-2023,Burnley,? - ?,West Ham
247,14-08-2023,Man United,1 - 0,Wolves
248,19-08-2023,Wolves,1 - 4,Brighton
249,26-08-2023,Everton,0 - 1,Wolves
250,03-09-2023,Crystal Palace,3 - 2,Wolves
251,16-09-2023,Wolves,1 - 3,Liverpool
252,23-09-2023,Luton,1 - 1,Wolves
253,30-09-2023,Wolves,2 - 1,Man City
254,08-10-2023,Wolves,1 - 1,Aston Villa
255,21-10-2023,Bournemouth,1 - 2,Wolves
256,28-10-2023,Wolves,2 - 2,Newcastle
257,04-11-2023,Sheffield United,2 - 1,Wolves
258,11-11-2023,Wolves,2 - 1,Tottenham
259,27-11-2023,Fulham,? - ?,Wolves
